(255, 255, 0)
(255, 0, 255)
(128, 255, 0)
(255, 255, 0)
(128, 191, 0)
(128, 255, 0)
(255, 128, 0)
(64, 191, 191)
(255, 0, 255)
(128, 255, 0)
(128, 255, 0)
(255, 0, 255)
(85, 170, 170)
(128, 128, 128)
(128, 255, 0)
(128, 255, 0)
(191, 128, 128)
(128, 0, 128)
(85, 85, 85)
(64, 128, 191)
(0, 128, 128)
(128, 255, 0)
(128, 191, 0)
(255, 0, 255)
(255, 0, 255)
(255, 0, 255)
(170, 170, 85)
(128, 0, 128)
(170, 85, 85)
(51, 153, 204)
(0, 128, 128)
(0, 255, 0)
(170, 85, 170)
(255, 0, 255)
(255, 255, 0)
(128, 191, 128)
(255, 255, 0)
(128, 255, 0)
(128, 128, 128)
(102, 102, 204)
(128, 128, 128)
(255, 255, 0)
(85, 85, 170)
(255, 0, 255)
(128, 128, 255)
(0, 255, 255)
(153, 153, 102)
(255, 0, 0)
(255, 0, 255)
(128, 128, 128)
