(153, 51, 102)
(64, 128, 128)
(0, 255, 255)
(191, 64, 64)
(85, 85, 85)
(255, 255, 0)
(0, 255, 255)
(170, 43, 85)
(85, 85, 85)
(153, 51, 102)
(128, 0, 255)
(64, 128, 128)
(85, 85, 170)
(85, 85, 170)
(191, 64, 128)
(0, 255, 255)
(255, 0, 0)
(170, 85, 170)
(191, 0, 128)
(170, 85, 170)
(0, 255, 0)
(128, 128, 0)
(153, 51, 51)
(0, 255, 255)
(255, 0, 0)
(153, 51, 102)
(170, 85, 170)
(128, 128, 0)
(85, 85, 170)
(191, 64, 128)
(85, 85, 170)
(0, 128, 255)
(85, 85, 170)
(255, 0, 0)
(85, 85, 170)
(128, 128, 0)
(85, 85, 170)
(153, 51, 51)
(191, 64, 128)
(255, 0, 0)
(0, 255, 0)
(0, 255, 255)
(128, 64, 128)
(85, 85, 170)
(0, 255, 128)
(0, 255, 0)
(0, 255, 0)
(85, 85, 170)
(170, 85, 85)
(255, 0, 0)
