15,1,14,2,13,3,12,4,11,5,10,6,9,7,8
8,15,7,1,9,14,6,2,10,13,5,3,11,12,4
4,8,12,15,11,7,3,1,5,9,13,14,10,6,2
2,4,6,8,10,12,14,15,13,11,9,7,5,3,1
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
15,1,14,2,13,3,12,4,11,5,10,6,9,7,8
8,15,7,1,9,14,6,2,10,13,5,3,11,12,4
4,8,12,15,11,7,3,1,5,9,13,14,10,6,2
2,4,6,8,10,12,14,15,13,11,9,7,5,3,1
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
15,1,14,2,13,3,12,4,11,5,10,6,9,7,8
8,15,7,1,9,14,6,2,10,13,5,3,11,12,4
4,8,12,15,11,7,3,1,5,9,13,14,10,6,2
2,4,6,8,10,12,14,15,13,11,9,7,5,3,1
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
