0006, 0600
0016, 0610
0026, 0620
0036, 0630
0046, 0640
0056, 0650
0107, 0701
0117, 0711
0127, 0721
0137, 0731
0147, 0741
0157, 0751
0208, 0802
0218, 0812
0228, 0822
0238, 0832
0248, 0842
0258, 0852
0309, 0903
0319, 0913
0329, 0923
0339, 0933
0349, 0943
0359, 0953
0410, 1004
0451, 1045
0511, 1105
0612, 1206
0713, 1307
0814, 1408
0915, 1509
1006, 1600
1016, 1610
1026, 1620
1036, 1630
1046, 1640
1056, 1650
1107, 1701
1117, 1711
1127, 1721
1137, 1731
1147, 1741
1157, 1751
1208, 1802
1218, 1812
1228, 1822
1238, 1832
1248, 1842
1258, 1852
1309, 1903
1319, 1913
1329, 1923
1339, 1933
1349, 1943
1359, 1953
1420, 2014
1521, 2115
1622, 2216
1723, 2317
