500
-1405,68
-161,99
-115,71
-76,59
+189,54
+619,78
+1651,33
+974,28
-338,87
+99,71
+737,65
+70,10
-64,37
-208,24
+23,41
+72,32
+128,74
+171,36
+126,11
+162,64
-17,71
+44,54
-945,15
-1697,81
+126,77
-572,51
-195,91
+0,52
-1368,83
-60,61
+45,94
-82,99
+1820,60
+1419,92
+1467,95
-506,43
+1650,98
-634,81
-1947,88
+1331,11
+17,41
+538,43
-17,53
-195,56
+61,31
+64,37
+1616,82
+50,04
+30,34
+929,46
+74,65
+1332,63
+380,37
+608,28
+472,33
+613,29
+1111,93
-111,64
-1476,75
+16,91
+274,49
+1732,37
-51,61
+60,87
+1217,82
+195,35
+97,72
+1505,54
-197,03
-176,06
+178,97
+77,97
-20,45
+29,98
-926,60
+146,55
+4,28
+1720,62
-94,68
+27,24
+343,41
-615,18
-83,96
-209,30
+148,52
+123,48
-352,25
-14,89
-75,81
+380,23
-83,99
+90,90
-149,10
+74,48
+140,50
+10,76
-4,28
-3,84
+158,72
-65,73
-840,76
+120,53
-68,41
+166,05
+479,41
-64,31
-34,55
+149,11
+126,48
+954,89
+139,13
+692,20
+605,84
+1453,08
+305,37
+96,04
+34,88
-60,14
-1977,18
+194,79
+1723,91
+28,57
+43,67
-129,25
-28,67
-75,40
+40,26
+93,39
+938,21
-1972,73
-67,61
-118,75
-10,11
+1502,65
-158,56
+544,00
+1515,88
+1495,54
+1174,38
+128,95
+118,94
-7,08
-551,30
+13,42
+885,39
-182,40
-7,19
-401,93
+1440,73
+164,54
-119,55
-1429,88
-16,71
-841,47
-11,36
-14,25
+768,49
-528,26
+709,48
+188,74
-253,44
-884,09
-1763,98
-84,97
+26,73
-2,49
-141,48
+161,87
-18,17
+1342,33
+1204,25
-93,77
+83,28
+149,97
-171,35
-167,38
+1274,64
+18,59
-93,79
+99,67
+595,41
+1566,74
-155,29
+1747,42
-170,51
+160,64
-400,53
-1791,54
-1872,41
+331,73
+127,43
-96,69
+1474,28
+58,70
-166,83
-26,93
-939,71
-106,83
+1290,61
+525,54
+7,27
-1421,71
-21,47
+15,87
-200,70
+878,43
-151,64
+483,43
+319,13
-61,38
-93,81
+24,94
-91,75
+866,83
-79,47
+37,85
-180,92
+92,37
+1119,22
-116,97
+11,27
-196,71
+699,96
+883,41
+154,91
+12,97
+159,59
+811,40
-61,41
-11,24
+16,11
-180,59
-89,58
+32,08
-320,12
+57,52
+729,42
+1435,56
-587,03
-19,50
-158,88
-32,42
-1928,22
+754,47
-159,63
-41,48
-131,01
+547,68
+791,77
-945,20
+1383,77
+1894,12
-29,17
-613,89
-149,88
-694,78
+26,43
+37,21
-111,65
-1473,41
+186,83
-1127,07
-1596,50
+12,42
-165,00
-131,65
-82,53
-1869,62
+235,04
-620,48
-97,79
+43,73
+84,95
+16,58
-271,91
-103,80
+648,84
+72,98
+715,39
+1910,42
+447,82
+196,20
-83,33
+94,64
-118,23
+1198,63
+597,55
+10,54
+935,87
+170,25
+20,85
+173,44
+169,18
-166,33
+322,90
+83,82
-38,28
-978,99
-1727,96
+68,08
+1382,84
-582,07
+195,29
+138,86
-11,79
+114,87
+4,89
+31,94
-290,36
-310,57
-130,36
-182,44
+95,50
+1821,14
-301,06
-808,68
+264,55
+165,86
+85,12
-147,45
+213,18
+11,29
+1373,34
+784,38
-131,55
-126,54
-16,96
+1527,19
+44,72
+36,15
-71,37
-436,40
-182,78
-328,24
-1579,03
-152,43
-145,57
+198,44
+965,57
-4,64
+55,27
-159,96
-121,98
+248,04
+69,27
-560,77
+72,80
+94,61
-1376,76
+190,86
+180,69
+30,74
-76,45
+215,27
-178,56
+177,41
-545,18
-179,61
+329,75
+1626,23
+33,79
-284,29
+126,16
-40,98
-70,96
-636,95
+18,68
-1438,66
-1621,75
-110,91
-353,30
-3,02
+1165,78
+132,75
-1106,33
-44,45
-1878,87
+272,22
+2,25
+980,56
+1826,89
+1720,05
-1538,98
-1124,43
+130,64
-87,99
+53,17
+187,57
+34,15
+776,08
-58,89
+608,77
+36,17
+97,62
-24,74
+1736,27
+105,23
-13,59
-490,90
-164,20
-82,87
-750,54
-1787,56
+223,43
+1145,11
+188,79
+150,29
-1805,40
-15,18
+98,70
-192,57
+261,11
-1122,92
+157,14
+174,41
-66,57
+47,84
+62,14
+485,46
+381,31
+187,87
+18,73
-41,07
-91,56
+17,22
-551,06
-362,57
+65,38
-54,54
+43,90
+748,20
-1224,77
+710,88
-247,53
-16,27
+19,27
+1682,01
+759,23
+39,68
-955,26
+973,31
+142,97
+200,40
+135,62
+125,32
-1358,35
+178,99
-1355,28
-998,73
-74,27
+466,12
+76,74
+126,12
+80,57
+167,35
+54,70
-429,54
+196,06
+76,06
+516,37
+35,70
+888,41
-255,83
+74,81
-137,42
-379,48
+1162,34
+19,62
-1347,55
-147,13
-59,59
+503,44
+1621,98
+140,13
+83,69
-98,89
+81,89
+599,54
-3,10
+13,86
-1884,76
+39,20
-361,25
+95,28
+7,84
+521,56
+3,00
-858,19
+862,45
+108,15
-23,18
-177,23
+779,93
+804,41
+4,31
-148,97
-193,17
+362,73
+1469,96
-1161,07
